일자,요일,영업매장,총매출,총할인,실매출,가액,부가세,영수건수,영수단가,고객수,객단가,남,여,봉사료,에누리,결제합계,단순현금,현금영수,신용카드,외상,상품권,식권,회원포인트,제휴카드,사원카드,모바일쿠폰,캐시비,일반,점유율(%),포장,점유율(%),배달,점유율(%),일반,서비스,제휴,쿠폰,회원,식권,포장,사후환급액,즉시환급액,환급수수료
2017-07-01,토,1개,"2,382,300 ",0 ,"2,382,300 ","2,166,231 ","216,069 ",313 ,"7,611 ",313 ,"7,611 ",313 ,0 ,0 ,0 ,"2,382,300 ","506,900 ","17,700 ","1,857,700 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,908,700 ",80.12 ,"473,600 ",19.88 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-02,일,1개,"1,986,500 ",0 ,"1,986,500 ","1,806,305 ","180,195 ",275 ,"7,224 ",275 ,"7,224 ",275 ,0 ,0 ,0 ,"1,986,500 ","522,500 ","35,800 ","1,428,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,645,600 ",82.84 ,"340,900 ",17.16 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-03,월,1개,"1,798,900 ",0 ,"1,798,900 ","1,635,700 ","163,200 ",247 ,"7,283 ",247 ,"7,283 ",247 ,0 ,0 ,0 ,"1,798,900 ","579,500 ",0 ,"1,219,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,544,700 ",85.87 ,"254,200 ",14.13 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-04,화,1개,"2,062,100 ",0 ,"2,062,100 ","1,875,061 ","187,039 ",303 ,"6,806 ",303 ,"6,806 ",303 ,0 ,0 ,0 ,"2,062,100 ","454,400 ","8,500 ","1,599,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,701,200 ",82.50 ,"360,900 ",17.50 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-05,수,1개,"2,109,100 ",0 ,"2,109,100 ","1,917,772 ","191,328 ",292 ,"7,223 ",292 ,"7,223 ",292 ,0 ,0 ,0 ,"2,109,100 ","514,000 ","18,800 ","1,576,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,852,100 ",87.81 ,"257,000 ",12.19 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-06,목,1개,"2,028,300 ",0 ,"2,028,300 ","1,844,310 ","183,990 ",284 ,"7,142 ",284 ,"7,142 ",284 ,0 ,0 ,0 ,"2,028,300 ","352,500 ",0 ,"1,675,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,646,100 ",81.16 ,"382,200 ",18.84 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-07,금,1개,"1,967,000 ",0 ,"1,967,000 ","1,788,541 ","178,459 ",273 ,"7,205 ",273 ,"7,205 ",273 ,0 ,0 ,0 ,"1,967,000 ","485,200 ","38,000 ","1,443,800 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,585,500 ",80.60 ,"381,500 ",19.40 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-08,토,1개,"2,395,200 ",0 ,"2,395,200 ","2,177,936 ","217,264 ",323 ,"7,415 ",323 ,"7,415 ",323 ,0 ,0 ,0 ,"2,395,200 ","661,500 ","8,400 ","1,725,300 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,886,800 ",78.77 ,"508,400 ",21.23 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-09,일,1개,"2,139,300 ",0 ,"2,139,300 ","1,945,258 ","194,042 ",295 ,"7,252 ",295 ,"7,252 ",295 ,0 ,0 ,0 ,"2,139,300 ","521,900 ","12,000 ","1,605,400 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,711,800 ",80.02 ,"427,500 ",19.98 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2017-07-10,월,1개,"2,044,500 ",0 ,"2,044,500 ","1,859,043 ","185,457 ",286 ,"7,149 ",286 ,"7,149 ",286 ,0 ,0 ,0 ,"2,044,500 ","407,400 ","34,900 ","1,602,200 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,683,800 ",82.36 ,"360,700 ",17.64 ,0 ,0.00 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
