date,총매출,총할인,영수건수,서비스
0,"2,382,300 ",0 ,313,0 
1,"1,986,500 ",0 ,275,0 
2,"1,798,900 ",0 ,247,0 
3,"2,062,100 ",0 ,303,0 
4,"2,109,100 ",0 ,292,0 
5,"2,028,300 ",0 ,284,0 
6,"1,967,000 ",0 ,273,0 
7,"2,395,200 ",0 ,323,0 
8,"2,139,300 ",0 ,295,0 
9,"2,044,500 ",0 ,286,0 
10,"2,301,400 ",0 ,322,0 
11,"1,606,800 ",0 ,246,0 
12,"1,907,400 ",0 ,274,0 
13,"2,101,600 ",0 ,294,0 
14,"2,079,900 ",0 ,273,0 
15,"2,473,900 ",0 ,331,0 
16,"2,196,000 ","97,000 ",303,"97,000 "
17,"2,067,500 ","74,200 ",297,"74,200 "
18,"2,230,100 ","163,800 ",301,"163,800 "
19,"2,089,400 ","30,100 ",294,"30,100 "
20,"2,225,900 ","46,700 ",291,"46,700 "
21,"2,315,000 ","45,900 ",303,"45,900 "
22,"2,224,300 ","51,800 ",285,"51,800 "
23,"2,024,200 ","30,100 ",299,"30,100 "
24,"2,388,800 ","69,500 ",332,"69,500 "
25,"2,181,400 ","61,500 ",321,"61,500 "
26,"2,144,700 ","32,300 ",298,"32,300 "
27,"2,001,300 ","55,300 ",283,"55,300 "
28,"2,600,000 ","99,900 ",339,"99,900 "
29,"2,481,600 ","101,000 ",317,"101,000 "
30,"2,161,700 ","49,200 ",307,"49,200 "
31,"2,221,200 ","66,800 ",321,"66,800 "
32,"2,222,700 ","45,800 ",309,"45,800 "
33,"2,293,100 ","31,500 ",335,"31,500 "
34,"2,435,300 ","67,000 ",317,"67,000 "
35,"2,502,900 ","61,900 ",312,"61,900 "
36,"2,573,300 ","34,900 ",342,"34,900 "
37,"2,052,000 ","31,500 ",303,"31,500 "
38,"2,710,900 ","106,700 ",370,"106,700 "
39,"2,360,200 ","29,000 ",334,"29,000 "
40,"2,208,100 ","91,700 ",288,"91,700 "
41,"2,156,100 ","37,400 ",303,"37,400 "
42,"2,968,700 ","33,800 ",396,"33,800 "
43,"2,931,000 ","199,400 ",366,"199,400 "
44,"2,258,600 ","104,200 ",311,"104,200 "
45,"2,175,200 ","110,000 ",274,"110,000 "
46,"2,546,800 ","43,900 ",360,"43,900 "
47,"2,597,500 ","45,900 ",354,"45,900 "
48,"2,560,300 ","79,100 ",348,"79,100 "
49,"2,775,200 ","76,900 ",347,"76,900 "
50,"2,741,800 ","185,000 ",342,"185,000 "
51,"2,223,400 ","92,500 ",301,"92,500 "
52,"2,385,000 ","18,700 ",335,"18,700 "
53,"2,173,300 ","70,100 ",319,"70,100 "
54,"2,087,500 ","39,000 ",303,"39,000 "
55,"2,239,300 ","47,200 ",319,"47,200 "
56,"3,010,000 ","139,700 ",387,"139,700 "
57,"2,904,000 ","161,200 ",381,"161,200 "
58,"2,209,300 ","96,000 ",307,"96,000 "
59,"2,384,100 ","48,100 ",347,"48,100 "
60,"2,218,300 ","30,200 ",321,"30,200 "
61,"2,247,300 ","32,000 ",331,"32,000 "
62,"2,344,400 ","36,900 ",341,"36,900 "
63,"2,969,300 ","70,500 ",376,"70,500 "
64,"2,704,700 ","109,800 ",367,"109,800 "
65,"2,026,000 ","57,300 ",295,"57,300 "
66,"2,225,700 ","56,700 ",316,"56,700 "
67,"2,137,200 ","44,000 ",310,"44,000 "
68,"2,078,500 ","16,200 ",299,"16,200 "
69,"2,259,400 ","84,800 ",313,"84,800 "
